word,count
න,1093703
ව,487574
ම,469845
ක,444052
ද,350529
ත,325588
හ,263865
ල,230602
ය,227708
ස,222957
ර,200171
ට,193885
ග,183388
ප,180802
ඔය,162955
බ,101814
මම,97829
යන,88328
අප,70736
නව,70662
මට,68198
කරන,67227
එය,66407
ඩ,64762
එක,55900
ඒක,52328
නම,51267
යල,49451
හර,43642
ඉන,42694
වන,42238
මග,40049
ගන,38279
ඕන,36645
ජ,33752
ඒ,31878
ඇත,30922
ණ,30241
දන,29388
ච,29383
යක,28111
ළ,27211
ඔව,26543
ඔහ,25689
තන,25107
කල,24736
වග,24430
කක,23722
ශ,23241
වත,22996
එහ,21751
වක,21095
එන,20889
කද,19489
කර,19064
වල,18740
අන,18684
ඇය,18386
සම,18175
ෂ,18046
යට,17910
යනව,17480
නවද,17436
මද,16786
එප,16511
කත,16255
කව,15380
මත,15232
බලන,14242
යම,14171
ගත,14049
ඩක,13637
තම,13618
ඒත,13592
උන,13541
පස,13523
තමය,13371
වට,12887
අය,12871
කරනව,12471
කරල,12314
ධ,11763
ඔබ,11727
සර,11379
එකක,11334
රය,11313
ඉත,11242
මක,11093
නය,10993
සහ,10866
පර,10707
නක,10688
අම,10625
මන,10325
බල,10236
අත,9969
දර,9799
ඳ,9693
අව,9558
කට,9541
සන,9439
ෆ,9371
ආව,9208
සත,9019
ලට,8999
අල,8775
අර,8762
හම,8724
ලක,8395
මය,8322
වය,8238
තය,8234
තර,7977
වර,7963
නවත,7746
දක,7654
කළ,7561
නද,7511
කන,7373
කම,7260
රක,7131
අද,7020
තව,7014
ඳය,6978
උදව,6865
කය,6700
භ,6628
පත,6607
චර,6501
ලන,6482
දය,6260
ඉක,6205
යය,6112
වලට,6108
රශ,6104
උත,6099
ටර,5983
ඇව,5902
සල,5893
තටම,5875
බන,5808
නත,5724
රද,5624
ලග,5614
එල,5607
ලය,5584
අහන,5564
රත,5562
සය,5540
ථ,5509
උඹ,5477
ඇහ,5417
තරය,5407
ඒව,5394
ආය,5339
ආරක,5304
වඩ,5232
එනව,5164
නස,5152
එකට,5133
කවද,5118
රම,5014
ආපහ,4928
ඒකට,4922
ඔක,4845
මර,4643
රස,4629
තට,4528
මහත,4504
නන,4404
ලව,4281
ලස,4252
අඩ,4247
හද,4179
කරගන,4166
බව,4152
හදන,4148
වද,4108
අ,4072
තරම,4048
අහ,4019
රව,3985
පන,3945
ඔබට,3939
නගන,3923
ටම,3893
හට,3834
එතක,3823
නට,3778
බය,3755
පව,3733
නයක,3679
දවස,3673
රන,3670
ඉස,3655
අවස,3652
වම,3582
ආදර,3428
තත,3391
කරප,3389
යමය,3331
අරන,3331
උද,3312
ලම,3288
එත,3201
පටන,3122
ඉද,3036
නල,2991
ගමන,2954
ගම,2941
ඒය,2913
රට,2912
එකම,2901
නග,2892
ළමය,2879
එකත,2874
ගය,2826
ටන,2805
යත,2795
කමක,2795
රයක,2756
අරග,2744
ඔන,2741
ණය,2738
තක,2702
ගල,2674
මල,2673
පල,2645
තවත,2632
අවශ,2612
ලබ,2605
මතක,2601
යවන,2597
ටය,2585
තනව,2583
හය,2577
මනට,2566
ඩය,2564
උබ,2549
ටත,2525
මහ,2486
මව,2473
මරන,2470
හල,2464
එළ,2451
කණ,2442
ආදරය,2441
කරම,2435
ඕක,2426
සද,2425
කස,2416
ඉල,2403
තල,2382
නවන,2372
ආ,2367
බර,2333
එතන,2309
ජන,2281
ඊට,2235
ඇස,2208
සමහර,2203
හන,2194
එච,2166
දරය,2163
සමහරව,2163
යද,2159
අමතක,2112
ඉවරය,2108
ගහන,2101
දට,2090
ශක,2088
රණ,2033
ලයක,2031
අතර,2024
ඇයට,2023
වස,2014
අස,2013
යප,2012
යලද,1983
ඇන,1968
රගන,1966
උපස,1954
මස,1950
නරක,1940
යනවද,1933
පය,1928
ඇල,1927
අනත,1922
තද,1919
ඌ,1903
තරක,1888
ඒවග,1885
යටම,1864
ආර,1853
ඉග,1850
කටද,1839
