word,count
ich,8192111
sie,5335134
das,4351604
ist,4230908
du,4113027
nicht,3850466
die,3503476
und,3206631
es,3195655
der,2439233
wir,2398042
was,2386729
zu,1990997
er,1903792
ein,1853551
in,1740468
ja,1445829
mir,1429387
mit,1415847
den,1305460
wie,1304563
mich,1252981
auf,1240959
dass,1195396
aber,1172622
eine,1166187
so,1131551
hat,1094110
hier,1068116
haben,1030800
sind,1028499
für,1026501
von,995633
dich,968925
war,965044
wenn,962667
ihr,927565
nein,889616
an,882853
habe,871552
noch,803268
da,796023
bin,793432
nur,787046
dir,777981
einen,747910
sich,742573
uns,734215
hast,711279
dem,653726
kann,634965
gut,630839
auch,620949
ihn,620786
schon,618658
sein,612278
als,611128
jetzt,609127
mal,606940
aus,603719
dann,597142
meine,587138
um,583409
im,569148
wird,548739
mein,542330
bist,537282
doch,528141
alles,512934
weiß,493357
keine,490290
oder,476742
nach,462836
nichts,433523
man,421985
werden,415163
will,411584
wo,410765
ihnen,409883
muss,405543
etwas,395520
mehr,394362
Oh,389928
bei,383485
also,378859
bitte,369207
immer,362750
warum,354636
vor,347787
los,347778
wieder,335291
können,334213
hab,332937
sagen,329226
Mann,321478
alle,320670
geht,318090
machen,316561
sehr,316420
danke,314804
denn,310922
zum,308686
ihm,306594
tun,305790
euch,302118
sehen,301150
gehen,300897
wer,300519
einem,293666
diese,293260
vielleicht,290615
ihre,288304
komm,285013
einer,283331
über,275182
deine,268739
wissen,267931
müssen,265408
soll,263878
nie,262947
werde,261844
okay,255596
wirklich,253738
kein,251745
weg,249317
Hey,247273
viel,245684
gibt,243405
würde,242386
des,241725
tut,238853
leben,236729
einfach,231850
am,228533
hatte,224899
willst,223429
Zeit,222441
kommen,222189
dein,220072
weil,219060
kommt,216250
heute,215012
wollen,214138
ganz,209424
damit,209038
ok,208062
wäre,206287
weißt,204142
Frau,203406
wollte,201678
bis,201243
gesagt,200863
sicher,199927
nun,199505
wurde,195608
leid,194995
Na,193090
kannst,190927
zurück,190288
dieser,189636
macht,188779
