word,count
je,21021125
da,16585477
ne,10470296
se,10237772
u,9058465
i,9053939
to,8029454
sam,7368706
što,6385356
na,5252728
ti,4658398
mi,4269023
za,4266120
si,4202756
li,4013432
ja,3253253
su,3065647
ali,2892012
nije,2764348
s,2421359
ga,2398177
samo,2350069
me,2311089
te,2260015
ovo,2259441
od,2214224
a,2190148
kako,2184336
bi,2181976
će,2139346
o,1954520
dobro,1945034
ako,1898505
smo,1887190
sa,1817453
sve,1803176
ću,1725808
kao,1676280
biti,1546876
tako,1521815
znam,1514240
ovdje,1496718
ste,1465391
nisam,1451388
mogu,1417439
bio,1416395
zašto,1324486
još,1291280
on,1250004
pa,1228687
redu,1222372
nešto,1209604
bilo,1173499
koji,1165524
kad,1142765
vas,1140932
iz,1016921
hvala,1011027
mislim,1004117
ih,994290
gdje,966024
ili,964286
možda,959312
znaš,923269
ima,920625
više,911123
vam,910267
rekao,882534
moj,871711
ćemo,866114
sada,863110
bih,857199
onda,855195
tko,845350
nas,842000
mu,838999
do,821385
nema,810194
ništa,795719
zar,789302
želim,768180
bila,760197
mene,756229
malo,749598
ona,715991
molim,710050
može,708830
tebe,691374
ćeš,689846
kada,681387
možeš,677218
reći,676699
sad,671533
prije,669050
vi,668486
tu,653444
imam,653285
nam,652853
jer,652830
šta,644370
tamo,644175
jesi,643435
Hej,637642
ni,632659
zbog,627890
ljudi,613621
svi,595545
nisi,590120
hajde,583115
moram,571460
idemo,556017
po,551985
treba,549093
uvijek,542897
koliko,540993
jedan,533691
misliš,522578
stvarno,522157
već,520286
neće,509352
zato,502297
nego,497676
baš,496469
bez,495605
možemo,485460
vrijeme,482476
dok,479354
stvari,475130
koje,473422
moja,472189
želiš,467746
ono,462377
gospodine,452492
imaš,448825
g,448626
toga,447881
oni,439664
ovaj,438428
taj,434457
moramo,431667
joj,431252
žao,428400
Oh,417510
imamo,416507
tome,411777
naravno,411249
mogao,408803
tvoj,408619
nikad,404644
znači,400059
posao,399630
dana,398217
moje,393659
koja,393265
dan,380592
daj,379069
nemoj,375344
radi,374484
moraš,374076
put,373809
bili,367939
godina,364668
bolje,363177
Bože,362393
neću,354120
rekla,352968
reci,349438
puno,348830
netko,347738
meni,346306
ok,345277
svoje,343191
im,339109
vidjeti,335436
mislio,334643
kod,333322
dobar,332709
dva,327619
njega,327088
život,326840
mora,325682
izgleda,324782
nisu,324423
možete,322915
radiš,321350
vidio,317422
vremena,316624
stvar,316132
imao,315654
mama,311625
tata,311477
znate,311428
jako,310217
jeste,309075
pomoći,304673
vidim,301009
volim,300069
hoćeš,293842
neka,291734
trebao,290919
odmah,290813
zna,289981
ići,287955
nikada,284771
kući,284668
ime,283996
dogodilo,282835
danas,281701
nitko,280362
čovjek,279370
opet,277701
evo,275154
bit,274362
sigurno,273076
tri,272546
jesam,270565
upravo,270351
vrlo,270252
želi,270094
učiniti,268181
svoj,267785
čemu,267577
idem,266872
svoju,262354
tvoja,261202
tim,259183
koju,258577
ćete,255595
nakon,255219
tobom,251837
mnogo,249542
nismo,248858
no,247602
Zdravo,247564
znao,246478
mnom,246294
kaže,244147
