word,count
que,38337730
de,38316835
no,33466307
a,25724946
la,24333159
el,20240326
es,18749666
y,18667686
en,18054943
lo,16329644
un,15106701
por,11882034
qué,11388890
me,10553241
una,10230990
te,8436842
los,8374919
se,8154933
con,7995253
para,7483618
está,6664817
mi,6447159
si,6299234
sí,6203844
pero,6184824
bien,5593296
eso,5482395
su,5370007
las,5344651
yo,5092252
tu,4476836
del,4434115
aquí,4408380
como,4281228
al,4257388
más,4030260
le,3836318
esto,3569334
todo,3422731
ya,3010265
estoy,2919840
ahora,2919167
vamos,2899123
muy,2852972
esta,2846344
algo,2823699
hay,2787113
así,2721729
ha,2702220
tengo,2565411
bueno,2530426
estás,2514259
tú,2513015
sé,2479232
cuando,2455279
él,2428879
nos,2406558
cómo,2345649
nada,2327841
este,2293307
o,2201867
puedo,2188461
tiene,2167718
ser,2150683
quiero,2146479
hacer,2091796
fue,2076976
gracias,2075287
he,2057539
soy,2055530
vez,2036800
ella,2029112
sólo,2004369
era,1993264
todos,1887750
tienes,1838090
son,1825311
eres,1775252
porque,1772380
creo,1733613
sabes,1682367
ese,1679610
voy,1677224
puede,1666298
estaba,1611523
Hola,1596485
entonces,1573210
verdad,1558361
quién,1555164
solo,1550533
sus,1536129
casa,1526300
usted,1506519
tiempo,1504181
dónde,1500752
tan,1493561
esa,1493041
dos,1489910
nunca,1487348
favor,1463992
señor,1423498
quieres,1414865
va,1407785
mucho,1373475
mí,1365639
siento,1356582
Dios,1349607
están,1329447
mejor,1329020
hace,1325573
tenemos,1321538
ti,1293167
puedes,1276899
hombre,1275548
sin,1262123
sobre,1261070
decir,1248845
has,1248711
también,1241634
Oh,1231239
vida,1225387
ver,1224735
alguien,1214576
ahí,1207793
hasta,1139937
cosas,1123943
siempre,1119277
años,1096900
antes,1092073
ni,1081199
ir,1075643
uno,1073437
estar,1059916
día,1049134
estamos,1041754
mis,1039025
poco,1019012
noche,1011564
hecho,1010781
otra,983547
Sr,979685
nosotros,979253
sea,970731
acuerdo,969729
gente,965177
parece,949843
trabajo,947858
nadie,940281
mismo,931778
padre,926875
mira,919671
dijo,915886
quiere,901586
vas,891143
ellos,881221
hablar,870336
tal,858338
podría,850212
les,833397
pasa,828033
fuera,816642
han,812214
mundo,806987
después,801362
desde,798289
claro,789681
otro,784643
dinero,782313
momento,773356
seguro,768772
estado,768262
donde,762251
lugar,759810
tus,755021
hijo,752916
podemos,750141
tener,742168
sabe,738075
haciendo,736901
espera,736068
amigo,734674
había,733227
mañana,727324
tenía,726179
cosa,718404
tipo,717308
madre,709801
nuevo,709749
mierda,696674
necesito,696149
menos,696115
sido,694357
nuestro,684351
allí,672925
gran,669390
papá,652854
dice,649111
dije,648144
luego,645824
tres,645388
mamá,644891
días,640463
oye,638282
buena,633525
crees,633269
mujer,632141
vale,627880
hoy,623126
nombre,620319
gusta,620264
será,618419
buen,603524
conmigo,602542
todas,601966
parte,601699
mío,599404
haber,599170
estas,596904
nuestra,592811
quería,590729
mal,586737
debe,586215
aún,578728
toda,572490
hacerlo,564884
tienen,558536
cada,557659
importa,555809
visto,549644
contigo,545009
ven,541829
saber,539234
razón,536028
realmente,534799
alguna,527261
serio,519754
hizo,519084
veces,518487
tanto,517476
hemos,516931
problema,516930
hora,516008
idea,513227
quien,508697
cierto,507700
tarde,497151
ve,494837
demasiado,484614
ustedes,481817
entre,475941
policía,473451
familia,471602
haces,469752
estos,468526
esos,468186
debería,460472
dicho,460379
amor,459405
pasado,456476
eh,453836
hombres,451675
veo,446754
salir,445827
unos,444757
chica,443827
cuenta,441085
algún,439659
amigos,438262
hermano,433014
van,431350
vaya,429854
cabeza,429131
todavía,426919
quizá,424483
chicos,418665
somos,415959
lado,415274
debo,412580
sabía,411405
digo,411377
pensé,410346
pueden,410315
pasó,405757
cariño,402052
muerto,400710
forma,398669
buenas,397835
mientras,397622
cualquier,396260
hice,389843
sería,388553
rápido,386524
camino,384942
chico,384585
caso,379861
puerta,379668
esas,379425
contra,378460
primera,377775
ayuda,375934
cuál,374042
volver,373687
ves,373348
muchas,373141
hablando,372196
dentro,368838
Ah,368054
personas,367814
supuesto,365789
entiendo,365159
adiós,364953
genial,364256
casi,364213
pues,364086
historia,364067
nueva,361816
minutos,359729
hacia,359145
supongo,357511
durante,356391
ciudad,355898
manera,355569
significa,354061
primero,352632
persona,349996
iba,349872
pasar,349384
suerte,348928
señora,348670
niños,346345
cuánto,345072
pronto,344118
quizás,342179
espero,341768
juntos,338321
dijiste,337599
año,337158
semana,336488
muerte,336057
vi,334969
siquiera,333644
debes,326717
deja,325188
cuidado,324348
venir,323731
esposa,323660
poder,322949
manos,322869
feliz,322273
horas,322096
dejar,321850
hija,320690
miedo,320552
problemas,319699
haré,318231
corazón,317295
importante,315415
adelante,315093
nuestros,314901
allá,314692
da,314677
mano,314095
gustaría,313802
ojos,313330
viejo,311144
agua,310961
bajo,309552
justo,309100
jefe,308684
tío,308293
hey,308131
niño,307420
cerca,304982
cara,304496
viene,303858
cinco,303490
único,303283
otros,302670
guerra,302439
sigue,302251
realidad,301653
buenos,301598
mas,301578
déjame,300488
encontrar,298099
hiciste,294891
fin,293844
ninguna,293117
ningún,291985
suficiente,290598
auto,290231
sangre,289939
necesita,289350
noches,289320
haya,289222
arriba,288914
cuándo,287158
escucha,287051
llegar,286959
grande,285197
llama,284994
tierra,284337
tomar,284008
toma,283486
equipo,283044
debemos,281515
os,281008
listo,280387
loco,280110
bastante,279888
punto,279609
necesitamos,278958
dices,278753
capitán,278622
cuatro,278430
hago,277366
pueda,276318
venga,275428
clase,274695
misma,274402
hubiera,274205
pequeño,273366
algunos,272639
difícil,272549
última,272214
aunque,272144
vete,270861
quieren,270376
doctor,269720
primer,269525
entrar,269086
Ud,268902
deberías,268236
vuelta,267657
igual,266906
cree,266153
habla,265522
pensar,265354
e,264711
atrás,264400
fui,262938
abajo,262900
morir,259400
cuerpo,257740
dame,255774
trabajar,255140
muchos,254945
teléfono,254673
oportunidad,254460
estabas,253911
incluso,252988
juego,251389
mujeres,251270
número,250729
Sra,249265
posible,247752
pregunta,247745
meses,247411
tenido,246894
algunas,246781
ok,246596
exactamente,245708
fuerte,245582
podía,245561
final,245504
esté,245102
conozco,245065
coche,244205
segundo,243810
necesitas,243396
sabemos,242827
vivir,242587
dar,242172
maldita,241833
puta,241805
unas,241398
dime,241028
culpa,239438
Dr,239169
pasando,239057
hermana,238502
fiesta,237331
malo,236252
hijos,235778
arma,235474
matar,234649
haga,234607
lista,234448
eran,233436
amo,232435
diciendo,231431
creer,230974
fácil,230269
hagas,229121
comida,229104
buscando,228276
dicen,228056
fueron,227646
bebé,227373
mayor,227263
vino,227154
saben,226843
alto,226798
ido,225792
escuela,225589
comer,224378
trata,223869
tuve,223773
seguridad,223512
pensando,222578
única,221921
demonios,221415
hacen,220991
tampoco,219753
ello,219454
chicas,218482
podrías,217622
John,217157
medio,216736
seguir,216629
par,215936
padres,215270
maldito,214985
sola,214492
probablemente,214027
sentido,213399
joven,213355
dólares,212829
queda,211162
seis,210976
lejos,210787
rey,210749
Jack,210675
habitación,210381
luz,209811
diablos,209148
estuvo,208768
palabra,208309
segura,207276
vivo,207056
esperar,205996
plan,205400
esperando,204840
iré,204012
estará,203147
último,202959
nuestras,202811
recuerdo,202253
verte,202221
oficina,201951
dio,201681
preocupes,201617
simplemente,201208
pequeña,201111
paz,200282
idiota,199499
ayudar,198628
basta,198380
correcto,198372
estaban,196893
tenga,196693
paso,196541
murió,195991
acerca,195855
fuego,195579
oído,195187
aqui,194713
di,194673
perdón,194614
habría,194474
cama,194284
afuera,193467
dormir,192761
siendo,190610
cuanto,189660
peor,189474
deberíamos,189304
pueblo,188854
agente,188512
armas,187778
presidente,186690
digas,186067
además,186030
minuto,185801
diga,185095
país,184877
sitio,183189
orden,182860
niña,182561
llamar,182478
anoche,181883
lleva,181529
cuarto,181291
dado,178861
mucha,178857
piensa,178541
hacemos,178412
real,178374
semanas,178221
libro,177517
falta,176736
diez,176472
perdido,176180
calle,175882
conseguir,175508
entiendes,175198
hospital,174990
pienso,174666
general,174260
increíble,173929
millones,173912
cual,173082
especial,173040
acaba,172562
venido,172544
cambio,172500
perro,172355
Srta,172319
información,171630
trato,171572
grandes,171109
cielo,171043
prueba,171027
llamado,170934
preguntas,170826
diré,170780
resto,170049
llevar,169871
tuvo,169852
éste,169814
otras,169118
control,169063
mía,168819
marido,168804
carajo,168786
queremos,168757
detrás,167922
habrá,167633
buscar,167479
libre,167161
haría,167144
extraño,167058
jamás,166585
café,166376
conoces,166023
piensas,165936
llamada,165867
vemos,165191
viaje,165140
cállate,165032
hará,164897
poner,164171
irme,163178
usar,163101
empezar,162928
suena,162422
