word,count
ന,671443
ക,662489
ട,356866
ല,300269
ത,277023
യ,256187
പ,212975
ര,172093
ണ,163180
ച,159363
റ,150297
വ,132283
മ,120074
സ,102989
എന,95858
ള,83773
ങ,81487
ഞ,77532
ങള,48722
അത,46037
ദ,38020
ഷ,36752
ഒര,35342
നത,33386
ൻ,27924
ഇത,25829
കള,24934
ൽ,24602
ഗ,24582
ശ,23754
നമ,22225
ബ,21715
വര,21611
ജ,21539
കണ,21157
ഹ,20863
ഡ,19882
തന,15745
ധ,15209
കയ,14170
ഴ,14119
ഈ,12900
അവര,12632
യത,12487
നക,12173
വന,11962
അവന,11886
പറയ,11868
ഭ,11832
പക,11747
പറഞ,11466
ഫ,11447
കഴ,11166
ഇവ,11074
എല,10805
ആ,10778
ങന,10744
ശര,10608
പറ,10557
നല,10437
ഉണ,10210
ഞങ,9739
അല,9718
ഒന,9706
ആര,9254
ഇന,9045
ടത,8735
ഇല,8677
കര,8552
യമ,8518
രമ,8268
അറ,8152
ങൾ,8146
അയ,7900
രണ,7807
കറ,7712
അവള,7677
ഇപ,7622
പര,7513
ആണ,7480
ൾ,7246
തര,6942
രക,6893
രത,6818
നന,6769
ചത,6520
വല,6465
അങ,6359
മള,6358
കല,6196
അവ,6104
മത,5796
അന,5794
എങ,5560
അട,5553
തത,5552
എത,5414
അപ,5343
വസ,5341
മനസ,5181
വളര,5157
ആയ,5102
മറ,4980
അമ,4966
മര,4912
കത,4848
മന,4802
യന,4756
ഥ,4564
തമ,4528
എവ,4485
ലത,4467
പത,4452
എട,4411
റച,4356
സഹ,4292
ളത,4283
അദ,4282
റത,4258
ഞത,4241
സമ,4226
ഷമ,4011
കട,3956
പണ,3869
രയ,3810
തല,3744
കൾ,3592
രന,3570
യങ,3532
ങൾക,3480
യല,3474
ഇങ,3409
ഇര,3286
ആള,3273
ർ,3248
സര,3142
മയ,3137
സന,3069
ഉള,3055
വഴ,3024
ടര,2949
ടങ,2928
കമ,2913
തയ,2911
റക,2885
ആക,2856
ചയ,2840
അച,2823
സത,2812
ടന,2697
ഭവ,2696
ഹത,2669
അവസ,2660
മണ,2629
പട,2591
ലപ,2555
രശ,2536
യപ,2510
ഓര,2491
പമ,2484
യയ,2478
റവ,2465
ലല,2454
ഇഷ,2450
ടപ,2435
കപ,2411
ആദ,2405
ർത,2372
നടക,2357
യക,2351
ഏറ,2316
ഴപ,2314
ഓ,2310
ലയ,2283
ടക,2275
കന,2234
പന,2222
വയ,2217
രദ,2198
മല,2195
ടല,2195
ൽക,2177
എപ,2176
ഖ,2174
ഗത,2171
ഏത,2166
ടമ,2122
ആവശ,2072
വച,2021
ണമ,2012
അവൻ,2011
ബന,2001
എഴ,1942
റര,1936
അവർ,1908
ജയ,1882
യര,1870
ഷണ,1837
ഛന,1830
വത,1822
ഹല,1809
മൾ,1801
രവ,1756
ഷന,1740
രഹ,1730
ഓട,1728
ടയ,1701
സമയ,1695
ഓക,1681
ദര,1657
റന,1648
പഠ,1641
ലക,1638
വമ,1631
രങ,1627
മസ,1579
നയ,1571
ഉറപ,1569
ആഗ,1538
ശക,1502
ജന,1482
ഉപയ,1471
അര,1466
അസ,1453
അഭ,1450
അധ,1443
ഒറ,1432
ർക,1419
കയറ,1416
യണ,1415
ഉദ,1409
രസ,1399
അവൾ,1393
ഇവന,1381
നറ,1378
റയ,1378
നപ,1361
ദയവ,1345
ഇട,1338
ൾക,1335
കണമ,1318
ഭക,1301
തണ,1271
നശ,1262
ണല,1254
നടത,1228
നങ,1226
റപ,1218
അകത,1214
തക,1213
ഉത,1207
നഷ,1205
സർ,1190
തട,1186
ശമ,1184
യവ,1184
ൺ,1158
ആല,1155
റർ,1152
ളവര,1145
വണ,1144
ണത,1142
ലന,1142
വശ,1142
ഷപ,1140
പയ,1117
നടന,1112
വട,1105
ഒക,1096
ശത,1095
ഒഴ,1092
ചര,1081
വദ,1079
ശബ,1071
ഷത,1062
നവര,1055
