word,count
να,23325035
το,18285849
δεν,13056314
είναι,12890416
θα,12228039
και,11429762
μου,8831638
με,7795035
για,7478066
ο,7232052
την,7102593
τον,6329237
η,6271666
σου,6205115
τα,6126091
που,6008256
σε,5971545
τι,5771755
του,5653833
αυτό,5619459
ότι,5027501
από,4529039
στο,4512268
όχι,3273935
της,3265893
ναι,3117039
τη,3050478
ένα,3040983
αν,2957955
τους,2881641
εδώ,2875129
αλλά,2822919
σας,2789877
μια,2781865
μας,2758015
ήταν,2677417
είσαι,2560636
πρέπει,2534952
είμαι,2419034
οι,2391585
στην,2279426
κι,2269357
πολύ,2218040
γιατί,2067649
τώρα,1954596
εγώ,1936065
πως,1873802
εντάξει,1808342
δε,1731481
κάτι,1702803
ξέρω,1690305
έχει,1675960
τις,1662773
έχω,1594192
μην,1446173
εσύ,1422648
έτσι,1364940
καλά,1318196
θέλω,1309589
αυτή,1260669
στον,1235922
στη,1223947
όταν,1216784
έχεις,1170618
κάνεις,1170547
μπορώ,1168241
ξέρεις,1167503
εκεί,1140997
μόνο,1135004
μαζί,1109734
σαν,1077404
πώς,1046503
τίποτα,1015304
όλα,1011185
κάνω,970930
ή,965910
ευχαριστώ,963644
μπορεί,907736
ποτέ,893381
τόσο,890330
κάνει,886855
αυτά,858602
των,853401
έλα,847021
σ,846400
στα,836973
πάμε,834688
μέσα,828868
υπάρχει,816419
πού,813585
απλά,810280
μπορείς,808520
ακόμα,801667
απ,788456
λοιπόν,783871
αυτός,776844
κύριε,776206
έχουμε,773924
πιο,772079
σπίτι,759623
παρακαλώ,758988
τότε,756357
ένας,740190
ίσως,728933
είμαστε,728726
πίσω,726773
πάντα,706835
πριν,701958
μετά,699467
νομίζω,689958
λίγο,684596
πω,672024
Γεια,667840
όπως,658565
ποιος,641496
δουλειά,624813
γι,610936
όλοι,607630
αλήθεια,599283
είπε,589348
δύο,587908
λες,580778
παιδιά,573557
ας,568726
έναν,564161
μη,558988
δω,558257
άλλο,557897
είχε,557379
θέλεις,556120
ζωή,549393
κάνουμε,542284
πάω,516189
έξω,503135
καλό,499750
είπα,492473
έχουν,491667
στις,478161
πάνω,476624
χρόνια,471316
ήμουν,469672
ώρα,469667
επειδή,468298
κοίτα,466926
σένα,464603
ούτε,464510
μέχρι,464232
πες,464071
μία,463799
όμως,463646
ωραία,459955
φορά,456892
μένα,454499
είστε,454381
έπρεπε,452555
κάθε,449840
κάτω,447839
μα,447646
κάποιος,447057
θες,437967
μ,436257
ήθελα,434305
σωστά,433723
πράγματα,433655
κανείς,431820
μέρα,431736
είχα,428429
χωρίς,427361
καλή,426798
μπορούμε,419347
γυναίκα,416104
μόλις,408455
ακριβώς,397797
πάει,392472
καλύτερα,392376
θέλει,391898
μαμά,391626
έκανε,391066
σήμερα,384590
λέει,380274
πόσο,372140
Θεέ,370479
συγγνώμη,366740
πας,366011
ό,365716
αυτόν,364748
έγινε,364157
έκανα,361085
συμβαίνει,360967
λυπάμαι,358374
μέρος,356923
αρέσει,354943
φαίνεται,354789
πεις,352077
οχι,348895
πολλά,348205
δυο,348017
εμένα,347457
φυσικά,345473
στιγμή,340223
κάποιον,338852
όσο,338013
είπες,334299
λάθος,333955
